"name","province","date","value"
"icu","BC",2020-10-21,21
"icu","BC",2020-10-22,24
"icu","BC",2020-10-23,24
"icu","BC",2020-10-24,24
"icu","BC",2020-10-25,24
"icu","BC",2020-10-26,26
"icu","BC",2020-10-27,27
"icu","BC",2020-10-28,25
"icu","BC",2020-10-29,24
"icu","BC",2020-10-30,25
"icu","BC",2020-10-31,25
"icu","BC",2020-11-01,25
"icu","BC",2020-11-02,19
"icu","BC",2020-11-03,22
"icu","BC",2020-11-04,25
"icu","BC",2020-11-05,24
"icu","BC",2020-11-06,28
"icu","BC",2020-11-07,31
"icu","BC",2020-11-08,31
"icu","BC",2020-11-09,43
"icu","BC",2020-11-10,46
"icu","BC",2020-11-11,46
"icu","BC",2020-11-12,44
"icu","BC",2020-11-13,50
"icu","BC",2020-11-14,50
"icu","BC",2020-11-15,50
"icu","BC",2020-11-16,57
"icu","BC",2020-11-17,63
"icu","BC",2020-11-18,58
"icu","BC",2020-11-19,59
"icu","BC",2020-11-20,57
"icu","BC",2020-11-21,57
"icu","BC",2020-11-22,57
"icu","BC",2020-11-23,59
"icu","BC",2020-11-24,61
"icu","BC",2020-11-25,61
"icu","BC",2020-11-26,64
"icu","BC",2020-11-27,69
"icu","BC",2020-11-28,69
"icu","BC",2020-11-29,69
"icu","BC",2020-11-30,75
"icu","BC",2020-12-01,76
"icu","BC",2020-12-02,79
"icu","BC",2020-12-03,80
"icu","BC",2020-12-04,76
"icu","BC",2020-12-05,76
"icu","BC",2020-12-06,76
"icu","BC",2020-12-07,77
"icu","BC",2020-12-08,74
"icu","BC",2020-12-09,76
"icu","BC",2020-12-10,75
"icu","BC",2020-12-11,87
"icu","BC",2020-12-12,87
"icu","BC",2020-12-13,87
"icu","BC",2020-12-14,87
"icu","BC",2020-12-15,93
"icu","BC",2020-12-16,91
"icu","BC",2020-12-17,93
"icu","BC",2020-12-18,92
"icu","BC",2020-12-19,92
"icu","BC",2020-12-20,92
"icu","BC",2020-12-21,80
"icu","BC",2020-12-22,84
"icu","BC",2020-12-23,80
"icu","BC",2020-12-24,78
"icu","BC",2020-12-25,78
"icu","BC",2020-12-26,78
"icu","BC",2020-12-27,78
"icu","BC",2020-12-28,78
"icu","BC",2020-12-29,80
"icu","BC",2020-12-30,77
"icu","BC",2020-12-31,76
"icu","BC",2021-01-01,76
"icu","BC",2021-01-02,76
"icu","BC",2021-01-03,76
"icu","BC",2021-01-04,76
"icu","BC",2021-01-05,77
"icu","BC",2021-01-06,78
"icu","BC",2021-01-07,74
"icu","BC",2021-01-08,75
"icu","BC",2021-01-09,75
"icu","BC",2021-01-10,75
"icu","BC",2021-01-11,72
"icu","BC",2021-01-12,72
"icu","BC",2021-01-13,76
"icu","BC",2021-01-14,74
"icu","BC",2021-01-15,68
"icu","BC",2021-01-16,68
"icu","BC",2021-01-17,68
"icu","BC",2021-01-18,68
"icu","BC",2021-01-19,70
"icu","BC",2021-01-20,66
"icu","BC",2021-01-21,68
"icu","BC",2021-01-22,74
"icu","BC",2021-01-23,74
"icu","BC",2021-01-24,74
"icu","BC",2021-01-25,68
"icu","BC",2021-01-26,71
"icu","BC",2021-01-27,74
"icu","BC",2021-01-28,75
"icu","BC",2021-01-29,74
"icu","BC",2021-01-30,74
"icu","BC",2021-01-31,74
"icu","MB",2020-01-25,0
"icu","MB",2020-01-26,0
"icu","MB",2020-01-27,0
"icu","MB",2020-01-28,0
"icu","MB",2020-01-29,0
"icu","MB",2020-01-30,0
"icu","MB",2020-01-31,0
"icu","MB",2020-02-01,0
"icu","MB",2020-02-02,0
"icu","MB",2020-02-03,0
"icu","MB",2020-02-04,0
"icu","MB",2020-02-05,0
"icu","MB",2020-02-06,0
"icu","MB",2020-02-07,0
